lambda,resolution,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.2,0.1,0,6.298942613673075,0.978,0.067,0,0,Mog
0.2,0.1,0,6.421985572103197,0.897,0.035,0,0,Mag
0.2,0.1,0,5.86094376598923,0.982,0.124,0,0,Ermn
0.2,0.1,0,6.044364869437665,0.891,0.051,0,0,Aspa
0.2,0.1,0,5.856321383261156,0.999,0.179,0,0,Cldn11
0.2,0.1,0,3.5294914665754225,0.978,0.201,0,0,Pllp
0.2,0.1,0,3.2830775873423366,0.991,0.237,0,0,Apod
0.2,0.1,0,2.929501370437422,0.903,0.207,0,0,Ptgds
0.2,0.1,0,2.0981421370803854,0.805,0.256,0,0,Phgdh
0.2,0.1,0,2.9580477677536683,0.846,0.297,0,0,Cers2
0.2,0.1,0,2.8858789174901656,0.665,0.12,0,0,Folh1
0.2,0.1,0,2.9260608520061533,0.679,0.191,0,0,B3galt5
0.2,0.1,0,4.019288476134125,1,0.518,0,0,Gatm
0.2,0.1,0,2.5255094782811147,0.942,0.487,0,0,Lap3
0.2,0.1,0,2.168246806268963,0.621,0.184,0,0,St6galnac3
0.2,0.1,0,1.1076755800378157,0.781,0.358,0,0,Srebf1
0.2,0.1,0,3.6611138814881,0.472,0.061,0,0,Plin4
0.2,0.1,0,2.151237593693614,0.864,0.495,0,0,Taldo1
0.2,0.1,0,2.100231911677932,0.894,0.528,0,0,Bpgm
0.2,0.1,0,2.255868201808649,0.555,0.191,0,0,Elovl1
0.2,0.1,0,1.7560983057839175,0.702,0.338,0,0,Csf1
0.2,0.1,0,1.7810973474590224,0.651,0.325,0,0,Degs1
0.2,0.1,0,1.699677490363879,0.498,0.172,0,0,Elmo1
0.2,0.1,0,1.6792116328942654,0.852,0.528,0,0,Rhob
0.2,0.1,0,0.3623367686985286,0.944,0.631,0,0,Cd63
0.2,0.1,0,1.6203460508111125,0.764,0.454,0,0,Abcg1
0.2,0.1,0,1.2661284316893844,0.432,0.195,0,0,Myo1e
0.2,0.1,0,1.6411847527218721,0.982,0.754,0,0,Bin1
0.2,0.1,0,1.3106853461456205,0.443,0.238,0,0,Hmgcl
0.2,0.1,0,0.5996067803627851,0.89,0.692,0,0,Lpgat1
0.2,0.1,0,1.019269455690934,0.605,0.412,0,0,Cerk
0.2,0.1,0,1.5708442310883135,0.237,0.054,0,0,Tgfbi
0.2,0.1,0,0.7556707718091389,0.436,0.258,0,0,Acadl
0.2,0.1,0,1.4256838752619774,0.28,0.103,0,0,Pla2g4a
0.2,0.1,0,2.12792304045729,0.213,0.059,0,0,Aldh3b1
0.2,0.1,0,1.2219763487898008,0.231,0.101,0,0,Dpyd
0.2,0.1,0,0.7894784273125297,0.609,0.481,0,0,Lta4h
0.2,0.1,0,3.173510531558252,1,0.873,0,0,Mbp
0.2,0.1,0,0.791643309663567,0.531,0.405,0,0,Acaca
0.2,0.1,0,0.8794673577899462,0.499,0.373,0,0,Bace1
0.2,0.1,0,2.196183137501345,0.171,0.046,0,0,Plin3
0.2,0.1,0,0.3927812894760214,0.519,0.395,0,0,Adcy5
0.2,0.1,0,1.574675606409886,0.998,0.874,0,0,Glul
0.2,0.1,0,0.5113804988603448,0.781,0.658,0,0,Fasn
0.2,0.1,0,0.4080904082817887,0.741,0.624,0,0,Bhlhe41
0.2,0.1,0,1.1066446362889057,0.214,0.106,0,0,Acaa1a
0.2,0.1,0,0.5280164460231429,0.44,0.335,0,0,Cat
0.2,0.1,0,0.7331237401342973,0.375,0.274,0,0,Pycr2
0.2,0.1,0,0.7463560199626724,0.906,0.806,0,0,Fabp5
0.2,0.1,0,0.5698529503692205,0.421,0.327,0,0,Prps2
0.2,0.1,0,1.4646697676358627,0.161,0.068,0,0,Vldlr
0.2,0.1,0,1.0433914125801962,0.206,0.114,0,0,Ebp
0.2,0.1,0,0.6465282571610713,0.331,0.245,0,0,Acsl1
0.2,0.1,0,0.5243104328803867,0.387,0.303,0,0,Adh5
0.2,0.1,0,0.3343686764661209,0.999,0.917,0,0,App
0.2,0.1,0,1.1709081880212127,0.16,0.079,0,0,G6pd2
0.2,0.1,0,0.800898920775547,0.987,0.908,0,0,Cd81
0.2,0.1,0,0.48940179256560035,0.597,0.524,0,0,Nr1h2
0.2,0.1,0,0.8534111836335154,0.969,0.896,0,0,Tkt
0.2,0.1,0,1.4203183490335047,0.115,0.045,0,0,Pou3f1
0.2,0.1,0,0.5614221504536512,0.967,0.9,0,0,Ftl1
0.2,0.1,0,0.2716580068377372,0.206,0.14,0,0,Ifit2
0.2,0.1,0,0.44050333784227513,0.825,0.764,0,0,Echs1
0.2,0.1,0,1.1675649318966506,0.995,0.935,0,0,Prdx1
0.2,0.1,0,0.3635131368151325,0.644,0.595,0,0,Idh1
0.2,0.1,0,0.4058698574828052,0.683,0.636,0,0,Hadha
0.2,0.1,0,0.5240047255724402,0.516,0.477,0,0,Ogdhl
0.2,0.1,0,0.48145125770080366,1,1,0,0,Ubc
0.2,0.1,7.173012439754891e-271,0.3823482595923446,0.487,0.442,3.4000078964438187e-268,0,Cstb
0.2,0.1,4.0844453447357784e-251,0.3180245629369516,0.214,0.157,1.936027093404759e-248,0,Pnpla2
0.2,0.1,1.398320942814907e-110,0.3282122121513451,0.193,0.158,6.628041268942659e-108,0,Bckdha
0.2,0.1,2.555951897245995e-104,0.28772937495075523,0.26,0.224,1.2115211992946017e-101,0,Sptlc2
0.2,0.1,6.187419998406786e-98,0.32326450193519785,0.361,0.331,2.9328370792448165e-95,0,Coasy
0.2,0.1,0,1.8322272004973046,0.946,0.291,0,1,Grin2a
0.2,0.1,0,1.9495989892423042,0.946,0.321,0,1,Grin2b
0.2,0.1,0,3.6111163691203454,0.72,0.161,0,1,Lamp5
